,Time,,,Q_Categ,A_Categ,Check
263,November,7,2018,,Arts & Entertainment,0.569999993
264,November,6,2018,,,0
265,November,6,2018,Jobs & Education,Jobs & Education,1.709999979
266,November,6,2018,,Jobs & Education,0.790000021
267,November,6,2018,,,0
268,November,6,2018,Finance,,0.5
269,November,6,2018,,,0
270,November,6,2018,Health,Health,1.709999979
271,November,6,2018,,Arts & Entertainment,0.629999995
272,November,6,2018,,Arts & Entertainment,0.519999981
273,November,6,2018,,Arts & Entertainment,0.579999983
274,November,6,2018,Computers & Electronics,Arts & Entertainment,1.359999955
275,November,6,2018,Law & Government,,0.610000014
276,November,6,2018,Jobs & Education,Food & Drink,1.579999983
277,November,6,2018,,People & Society,0.850000024
278,November,6,2018,,,0
279,November,6,2018,Jobs & Education,,0.699999988
280,November,6,2018,,,0
281,November,6,2018,,,0
282,November,6,2018,,,0
283,November,6,2018,Health,,0.550000012
284,November,6,2018,,,0
285,November,6,2018,Jobs & Education,,0.930000007
286,November,6,2018,,,0
287,November,6,2018,Jobs & Education,,0.769999981
288,November,6,2018,,,0
289,November,6,2018,,,0
290,November,6,2018,Arts & Entertainment,,0.600000024
291,November,6,2018,,,0
292,November,6,2018,,,0
293,November,6,2018,,,0
294,November,6,2018,,,0
295,November,6,2018,News,,0.860000014
296,November,6,2018,,,0
297,November,6,2018,,,0
298,November,6,2018,,,0
299,November,6,2018,,,0
300,November,6,2018,,People & Society,0.670000017
301,November,6,2018,Jobs & Education,,0.5
302,November,6,2018,,,0
303,November,6,2018,,,0
304,November,6,2018,Finance,Jobs & Education,1.060000002
305,November,6,2018,,,0
306,November,6,2018,,Science,0.50999999
307,November,6,2018,,,0
308,November,6,2018,,Jobs & Education,0.75999999
309,November,6,2018,,,0
310,November,6,2018,News,,0.980000019
311,November,6,2018,,,0
312,November,6,2018,,,0
313,November,6,2018,,,0
314,November,6,2018,Arts & Entertainment,,0.519999981
315,November,6,2018,,People & Society,0.879999995
316,November,6,2018,,,0
317,November,6,2018,,,0
318,November,6,2018,,,0
319,November,6,2018,,,0
320,November,6,2018,,,0
321,November,6,2018,,,0
322,November,6,2018,,,0
323,November,6,2018,,,0
324,November,6,2018,,,0
325,November,6,2018,,,0
326,November,6,2018,,,0
327,November,6,2018,,,0
328,November,6,2018,,,0
329,November,6,2018,,,0
330,November,6,2018,,,0
331,November,5,2018,,,0
332,November,5,2018,,,0
333,November,5,2018,,,0
334,November,5,2018,,,0
335,November,5,2018,,,0
336,November,5,2018,,,0
337,November,5,2018,,,0
338,November,5,2018,,,0
339,November,5,2018,,,0
340,November,5,2018,,,0
341,November,5,2018,,,0
342,November,5,2018,,,0
343,November,5,2018,,,0
344,November,5,2018,,,0
345,November,5,2018,,,0
346,November,5,2018,,,0
347,November,5,2018,,,0
348,November,5,2018,,,0
349,November,5,2018,,,0
350,November,5,2018,,,0
351,November,5,2018,,,0
352,November,5,2018,,,0
353,November,5,2018,,,0
354,November,5,2018,,,0
355,November,5,2018,,,0
356,November,5,2018,,,0
357,November,5,2018,,,0
358,November,5,2018,,,0
359,November,5,2018,,,0
360,November,5,2018,,,0
361,November,5,2018,,,0
362,November,5,2018,,,0
363,November,5,2018,,,0
364,November,5,2018,,,0
365,November,5,2018,,,0
366,November,5,2018,,,0
367,November,5,2018,,,0
368,November,5,2018,,,0
369,November,5,2018,,,0
370,November,5,2018,,,0
371,November,5,2018,,,0
372,November,5,2018,,,0
373,November,5,2018,,,0
374,November,5,2018,,,0
375,November,5,2018,,,0
376,November,5,2018,,,0
377,November,5,2018,,,0
378,November,5,2018,,,0
379,November,5,2018,,,0
380,November,5,2018,,,0
381,November,5,2018,,,0
382,November,5,2018,,,0
383,November,5,2018,,,0
384,November,5,2018,,,0
385,November,5,2018,,,0
386,November,5,2018,,,0
387,November,5,2018,,,0
388,November,5,2018,,,0
389,November,5,2018,,,0
390,November,5,2018,,,0
391,November,5,2018,,,0
392,November,5,2018,,,0
393,November,5,2018,,,0
394,November,5,2018,,,0
395,November,5,2018,,,0
396,November,5,2018,,,0
397,November,5,2018,,,0
398,November,5,2018,,,0
399,November,5,2018,,,0
400,November,5,2018,,,0
401,November,5,2018,,,0
402,November,5,2018,,,0
403,November,5,2018,,,0
404,November,5,2018,,,0
405,November,5,2018,,,0
406,November,5,2018,,,0
407,November,5,2018,,,0
408,November,5,2018,,,0
409,November,5,2018,,,0
410,November,5,2018,,,0
411,November,5,2018,,,0
412,November,5,2018,,,0
413,November,5,2018,,,0
414,November,5,2018,,,0
415,November,4,2018,,,0
416,November,4,2018,,,0
417,November,4,2018,,,0
418,November,4,2018,,,0
419,November,4,2018,,,0
420,November,4,2018,,,0
421,November,4,2018,,,0
422,November,4,2018,,,0
423,November,4,2018,,,0
424,November,4,2018,,,0
425,November,4,2018,,,0
426,November,4,2018,,,0
427,November,4,2018,,,0
428,November,4,2018,,,0
429,November,4,2018,,,0
430,November,4,2018,,,0
431,November,4,2018,,,0
432,November,4,2018,,,0
433,November,4,2018,,,0
434,November,4,2018,,,0
435,November,4,2018,,,0
436,November,4,2018,,,0
437,November,4,2018,,,0
438,November,4,2018,,,0
439,November,4,2018,,,0
440,November,4,2018,,,0
441,November,4,2018,,,0
442,November,4,2018,,,0
443,November,4,2018,,,0
444,November,4,2018,,,0
445,November,4,2018,,,0
446,November,4,2018,,,0
447,November,4,2018,,,0
448,November,4,2018,,,0
449,November,4,2018,,,0
450,November,4,2018,,,0
451,November,4,2018,,,0
452,November,4,2018,,,0
453,November,4,2018,,,0
454,November,4,2018,,,0
455,November,4,2018,,,0
456,November,4,2018,,,0
457,November,4,2018,,,0
458,November,3,2018,,,0
459,November,3,2018,,,0
460,November,3,2018,,,0
461,November,3,2018,,,0
462,November,3,2018,,,0
463,November,3,2018,,,0
464,November,3,2018,,,0
465,November,3,2018,,,0
466,November,3,2018,,,0
467,November,3,2018,,,0
468,November,3,2018,,,0
469,November,3,2018,,,0
470,November,3,2018,,,0
471,November,3,2018,,,0
472,November,3,2018,,,0
473,November,3,2018,,,0
474,November,3,2018,,,0
475,November,3,2018,,,0
476,November,3,2018,,,0
477,November,3,2018,,,0
478,November,3,2018,,,0
479,November,3,2018,,,0
480,November,3,2018,,,0
481,November,3,2018,,,0
482,November,3,2018,,,0
483,November,3,2018,,,0
484,November,3,2018,,,0
485,November,3,2018,,,0
486,November,3,2018,,,0
487,November,3,2018,,,0
488,November,2,2018,,,0
489,November,2,2018,,,0
490,November,2,2018,,,0
491,November,2,2018,,,0
492,November,2,2018,,,0
493,November,2,2018,,,0
494,November,2,2018,,,0
495,November,2,2018,,,0
496,November,2,2018,,,0
497,November,2,2018,,,0
498,November,2,2018,,,0
499,November,2,2018,,,0
500,November,2,2018,,,0
501,November,2,2018,,,0
502,November,2,2018,,,0
503,November,2,2018,,,0
504,November,2,2018,,,0
505,November,2,2018,,,0
506,November,2,2018,,,0
507,November,2,2018,,,0
508,November,2,2018,,,0
509,November,2,2018,,,0
510,November,2,2018,,,0
511,November,2,2018,,,0
512,November,2,2018,,,0
513,November,2,2018,,,0
514,November,2,2018,,,0
515,November,2,2018,,,0
516,November,2,2018,,,0
517,November,2,2018,,,0
518,November,2,2018,,,0
519,November,2,2018,,,0
520,November,2,2018,,,0
521,November,2,2018,,,0
522,November,2,2018,,,0
523,November,2,2018,,,0
524,November,2,2018,,,0
525,November,2,2018,,,0
526,November,2,2018,,,0
527,November,2,2018,,,0
528,November,2,2018,,,0
529,November,2,2018,,,0
530,November,2,2018,,,0
531,November,2,2018,,,0
532,November,2,2018,,,0
533,November,2,2018,,,0
534,November,1,2018,,,0
535,November,1,2018,,,0
536,November,1,2018,,,0
537,November,1,2018,,,0
538,November,1,2018,,,0
539,November,1,2018,,,0
540,November,1,2018,,,0
541,November,1,2018,,,0
542,November,1,2018,,,0
543,November,1,2018,,,0
544,November,1,2018,,,0
545,November,1,2018,,,0
546,November,1,2018,,,0
547,November,1,2018,,,0
548,November,1,2018,,,0
549,November,1,2018,,,0
550,November,1,2018,,,0
551,November,1,2018,,,0
552,November,1,2018,,,0
553,November,1,2018,,,0
554,November,1,2018,,,0
555,November,1,2018,,,0
556,November,1,2018,,,0
557,November,1,2018,,,0
558,November,1,2018,,,0
559,November,1,2018,,,0
560,November,1,2018,,,0
561,November,1,2018,,,0
562,November,1,2018,,,0
563,November,1,2018,,,0
564,November,1,2018,,,0
565,November,1,2018,,,0
566,November,1,2018,,,0
567,November,1,2018,,,0
568,November,1,2018,,,0
569,November,1,2018,,,0
570,November,1,2018,,,0
571,November,1,2018,,,0
572,October,31,2018,,,0
573,October,31,2018,,,0
574,October,31,2018,,,0
575,October,31,2018,,,0
576,October,31,2018,,,0
577,October,31,2018,,,0
578,October,31,2018,,,0
579,October,31,2018,,,0
580,October,31,2018,,,0
581,October,31,2018,,,0
582,October,31,2018,,,0
583,October,31,2018,,,0
584,October,31,2018,,,0
585,October,31,2018,,,0
586,October,31,2018,,,0
587,October,31,2018,,,0
588,October,31,2018,,,0
589,October,31,2018,,,0
590,October,31,2018,,,0
591,October,31,2018,,Jobs & Education,0.50999999
592,October,31,2018,,,0
593,October,31,2018,,,0
594,October,31,2018,,,0
595,October,31,2018,,,0
596,October,31,2018,,Jobs & Education,0.790000021
597,October,31,2018,,,0
598,October,31,2018,,,0
599,October,31,2018,,Food & Drink,0.540000021
600,October,31,2018,,,0
601,October,31,2018,,Food & Drink,0.74000001
602,October,31,2018,,,0
603,October,31,2018,,,0
604,October,31,2018,,Food & Drink,0.5
605,October,31,2018,,,0
606,October,31,2018,Books & Literature,,0.560000002
607,October,31,2018,,Arts & Entertainment,0.540000021
608,October,31,2018,,Autos & Vehicles,0.779999971
609,October,31,2018,Jobs & Education,Arts & Entertainment,1.439999998
610,October,31,2018,,,0
611,October,31,2018,,Arts & Entertainment,0.540000021
612,October,31,2018,Jobs & Education,,0.720000029
613,October,31,2018,,Arts & Entertainment,0.660000026
614,October,31,2018,,,0
615,October,31,2018,Jobs & Education,,0.579999983
616,October,31,2018,,,0
617,October,31,2018,,,0
618,October,31,2018,,Jobs & Education,0.579999983
619,October,31,2018,,Arts & Entertainment,0.629999995
620,October,31,2018,,,0
621,October,31,2018,,,0
622,October,31,2018,,,0
623,October,30,2018,,,0
624,October,30,2018,,,0
625,October,30,2018,,,0
626,October,30,2018,,Arts & Entertainment,0.540000021
627,October,30,2018,,,0
628,October,30,2018,,,0
629,October,30,2018,,,0
630,October,30,2018,,,0
631,October,30,2018,,,0
632,October,30,2018,,,0
633,October,30,2018,Computers & Electronics,,0.709999979
634,October,30,2018,Computers & Electronics,,0.5
635,October,30,2018,,,0
636,October,30,2018,,,0
637,October,30,2018,Health,Beauty & Fitness,1.420000017
638,October,30,2018,,Health,0.5
639,October,30,2018,,,0
640,October,30,2018,,,0
641,October,30,2018,,Computers & Electronics,0.550000012
642,October,30,2018,Health,Health,1.49000001
643,October,30,2018,,Arts & Entertainment,0.569999993
644,October,30,2018,Jobs & Education,,0.50999999
645,October,30,2018,,Food & Drink,0.839999974
646,October,30,2018,,,0
647,October,30,2018,,,0
648,October,30,2018,,,0
649,October,30,2018,,,0
650,October,30,2018,,,0
651,October,30,2018,,,0
652,October,30,2018,,,0
653,October,30,2018,,,0
654,October,30,2018,,,0
655,October,30,2018,,,0
656,October,30,2018,,,0
657,October,30,2018,Reference,Business & Industrial,1.040000021
658,October,30,2018,,Arts & Entertainment,0.779999971
659,October,30,2018,,,0
660,October,30,2018,,,0
661,October,30,2018,,,0
662,October,29,2018,,,0
663,October,29,2018,,,0
664,October,29,2018,,,0
665,October,29,2018,Arts & Entertainment,,0.50999999
666,October,29,2018,,People & Society,0.75
667,October,29,2018,,,0
668,October,29,2018,,,0
669,October,29,2018,,,0
670,October,29,2018,,,0
671,October,29,2018,People & Society,,0.629999995
672,October,29,2018,Beauty & Fitness,Arts & Entertainment,1.25999999
673,October,29,2018,,,0
674,October,29,2018,Arts & Entertainment,,0.560000002
675,October,29,2018,,,0
676,October,29,2018,Arts & Entertainment,,0.620000005
677,October,29,2018,,,0
678,October,29,2018,Jobs & Education,,0.560000002
679,October,29,2018,,,0
680,October,29,2018,,,0
681,October,29,2018,,Food & Drink,0.569999993
682,October,29,2018,,,0
683,October,29,2018,Arts & Entertainment,Arts & Entertainment,1.210000038
684,October,29,2018,,,0
685,October,29,2018,People & Society,People & Society,1.449999988
686,October,29,2018,,,0
687,October,29,2018,Jobs & Education,,0.620000005
688,October,29,2018,Arts & Entertainment,,0.569999993
689,October,29,2018,Jobs & Education,,0.660000026
690,October,29,2018,Internet & Telecom,,0.5
691,October,29,2018,Business & Industrial,Food & Drink,1.290000021
692,October,29,2018,Jobs & Education,,0.519999981
693,October,29,2018,Health,,0.800000012
694,October,29,2018,,,0
695,October,29,2018,,Food & Drink,0.800000012
696,October,29,2018,,,0
697,October,29,2018,,Jobs & Education,0.540000021
698,October,29,2018,,Food & Drink,0.75999999
699,October,29,2018,Jobs & Education,Food & Drink,1.230000019
700,October,29,2018,,,0
701,October,29,2018,,Food & Drink,0.699999988
702,October,29,2018,Jobs & Education,Food & Drink,1.51000005
703,October,29,2018,,,0
704,October,29,2018,,Arts & Entertainment,0.620000005
705,October,29,2018,People & Society,,0.879999995
706,October,29,2018,Travel,,0.779999971
707,October,29,2018,,Computers & Electronics,0.50999999
708,October,28,2018,Arts & Entertainment,Health,1.110000014
709,October,28,2018,,,0
710,October,28,2018,,,0
711,October,28,2018,,Arts & Entertainment,0.75999999
712,October,28,2018,,,0
713,October,28,2018,,,0
714,October,28,2018,,Jobs & Education,0.790000021
715,October,28,2018,,,0
716,October,28,2018,,,0
717,October,28,2018,Jobs & Education,Jobs & Education,1.200000048
718,October,28,2018,Jobs & Education,,0.639999986
719,October,28,2018,,,0
720,October,28,2018,,Arts & Entertainment,0.589999974
721,October,28,2018,Arts & Entertainment,Arts & Entertainment,1.230000019
722,October,28,2018,Jobs & Education,Arts & Entertainment,1.339999974
723,October,28,2018,,Arts & Entertainment,0.819999993
724,October,28,2018,,Arts & Entertainment,0.660000026
725,October,28,2018,,Shopping,0.680000007
726,October,28,2018,,,0
727,October,28,2018,,,0
728,October,28,2018,,,0
729,October,28,2018,,Arts & Entertainment,0.75999999
730,October,28,2018,,,0
731,October,28,2018,Arts & Entertainment,Arts & Entertainment,1.390000045
732,October,28,2018,,Arts & Entertainment,0.569999993
733,October,28,2018,,Arts & Entertainment,0.74000001
734,October,28,2018,Jobs & Education,,0.629999995
735,October,28,2018,,Arts & Entertainment,0.600000024
736,October,28,2018,,,0
737,October,28,2018,,,0
738,October,28,2018,,Arts & Entertainment,0.560000002
739,October,28,2018,,,0
740,October,28,2018,Jobs & Education,,0.50999999
741,October,28,2018,Online Communities,,0.629999995
742,October,28,2018,,,0
743,October,27,2018,,Arts & Entertainment,0.810000002
744,October,27,2018,,Arts & Entertainment,0.589999974
745,October,27,2018,,,0
746,October,27,2018,,Food & Drink,0.579999983
747,October,27,2018,,,0
748,October,27,2018,Jobs & Education,,0.629999995
749,October,27,2018,,Arts & Entertainment,0.600000024
750,October,27,2018,,,0
751,October,27,2018,,Jobs & Education,0.50999999
752,October,27,2018,,,0
753,October,27,2018,,Arts & Entertainment,0.899999976
754,October,27,2018,Finance,,0.629999995
755,October,27,2018,Health,,0.569999993
756,October,27,2018,,,0
757,October,27,2018,,Pets & Animals,0.540000021
758,October,27,2018,Science,Hobbies & Leisure,1.039999962
759,October,27,2018,,Arts & Entertainment,0.579999983
760,October,27,2018,,,0
761,October,27,2018,,Reference,0.649999976
762,October,27,2018,,,0
763,October,27,2018,Jobs & Education,,0.579999983
764,October,27,2018,Jobs & Education,,0.75999999
765,October,27,2018,,,0
766,October,27,2018,,Hobbies & Leisure,0.610000014
767,October,27,2018,,Science,0.779999971
768,October,27,2018,Jobs & Education,,0.680000007
769,October,27,2018,People & Society,People & Society,1.590000033
770,October,27,2018,,,0
771,October,27,2018,,,0
772,October,27,2018,,,0
773,October,26,2018,,,0
774,October,26,2018,Arts & Entertainment,,0.569999993
775,October,26,2018,,Jobs & Education,0.680000007
776,October,26,2018,,Food & Drink,0.589999974
777,October,26,2018,Reference,,0.540000021
778,October,26,2018,,,0
779,October,26,2018,,,0
780,October,26,2018,Shopping,,0.839999974
781,October,26,2018,,,0
782,October,26,2018,,Food & Drink,0.75
783,October,26,2018,,Food & Drink,0.829999983
784,October,26,2018,Shopping,Food & Drink,1.310000002
785,October,26,2018,,,0
786,October,26,2018,,Food & Drink,0.639999986
787,October,26,2018,,Food & Drink,0.660000026
788,October,26,2018,People & Society,People & Society,1.560000002
789,October,26,2018,,,0
790,October,26,2018,Arts & Entertainment,,0.600000024
791,October,26,2018,,,0
792,October,26,2018,,Arts & Entertainment,0.529999971
793,October,26,2018,,People & Society,0.540000021
